Question,Code answer
"What is the web-based Git repository URL (GitHub or GitLab or else) for your market implementation? Pay attention the repo must be public. Otherwise, and on GitHub only, access should be granted to user names https://github.com/hoduche and https://github.com/guillaume-alvarez (in Settings/Manage Access)",
What is your GitHub (or GitLab or else) user name?,
